Metric,Platform,Count,Mean,Median,P5,P25,P75,P95
Down Loss %,Teams,66,0.02,0.00,0.00,0.00,0.00,0.00
Down Loss %,Meet,453,21.91,8.80,0.00,0.00,42.87,70.99
Up Loss %,Teams,66,0.00,0.00,0.00,0.00,0.00,0.00
Up Loss %,Meet,453,0.74,0.00,0.00,0.00,0.00,0.32
Down Frame Jitter ms,Teams,66,50.99,0.00,0.00,0.00,53.42,264.80
Down Frame Jitter ms,Meet,453,32.18,10.74,0.00,0.00,29.69,153.58
Up Frame Jitter ms,Teams,66,5.77,0.00,0.00,0.00,0.00,9.44
Up Frame Jitter ms,Meet,453,27.62,9.75,0.00,0.00,22.06,146.26
Down FPS,Teams,66,4.23,0.00,0.00,0.00,2.26,29.92
Down FPS,Meet,453,11.56,10.67,0.00,0.00,19.88,29.99
Up FPS,Teams,66,1.48,0.00,0.00,0.00,0.00,7.85
Up FPS,Meet,453,11.78,10.09,0.00,0.00,22.49,29.58
Down Throughput bps,Teams,66,209357.67,37649.60,0.00,379.40,62383.60,1067590.40
Down Throughput bps,Meet,453,337005.08,31585.60,0.00,3146.40,457500.80,1584019.84
Up Throughput bps,Teams,66,73417.03,0.00,0.00,0.00,0.00,50090.60
Up Throughput bps,Meet,453,513249.97,90400.00,0.00,2871.20,611817.60,2563276.00
Down Video Bitrate bps,Teams,66,150411.04,0.00,0.00,0.00,132424.03,748630.11
Down Video Bitrate bps,Meet,453,399050.44,168390.98,0.00,0.00,474443.22,1583306.31
Up Video Bitrate bps,Teams,66,76233.92,0.00,0.00,0.00,0.00,158338.10
Up Video Bitrate bps,Meet,453,381494.46,215239.30,0.00,0.00,453709.67,1592926.15
Down Audio bps,Teams,66,37354.92,34371.20,0.00,139.60,50570.00,93912.60
Down Audio bps,Meet,453,16838.34,8446.40,0.00,593.60,23252.00,46879.68
Up Audio bps,Teams,66,3945.42,0.00,0.00,0.00,0.00,40266.40
Up Audio bps,Meet,453,28204.89,18747.20,0.00,2758.40,44685.60,86657.28
